,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3088,3171402,Vieiras,MG,484.6559633027523,558.6112068965517,506.9922413793103,523.6155963302753,488.1034482758621
3089,3171501,Mathias Lobato,MG,452.70754716981133,538.8140350877193,498.03684210526313,486.8207547169811,426.6666666666667
3090,3171600,Virgem da Lapa,MG,473.30196078431374,550.4434456928839,511.3591760299625,521.2890196078432,492.20973782771534
3091,3171709,Virgínia,MG,483.20813953488374,556.4465909090909,512.6113636363636,538.053488372093,493.1818181818182
3092,3171808,Virginópolis,MG,503.1042253521127,582.451724137931,534.3896551724138,556.4457746478873,544.9655172413793
3093,3171907,Virgolândia,MG,491.50625,560.6323529411765,515.4970588235294,517.915625,462.6470588235294
3094,3172004,Visconde do Rio Branco,MG,525.6856720827179,586.2842475386778,538.4313642756681,572.1549483013295,562.0534458509142
3095,3172103,Volta Grande,MG,482.4516129032258,560.8757575757576,530.9454545454546,568.2903225806451,515.7575757575758
3096,3172202,Wenceslau Braz,MG,515.7473684210527,591.8307692307693,547.025641025641,553.2815789473684,568.7179487179487
3097,3200102,Afonso Cláudio,ES,494.5559912854031,568.6052410901468,519.7368972746332,537.1196078431373,507.6310272536688
3098,3200136,Águia Branca,ES,479.20322580645166,548.8875621890547,506.4462686567164,534.144623655914,498.00995024875624
3099,3200169,Água Doce do Norte,ES,477.49274611398965,547.4679611650486,497.4126213592233,517.7974093264248,432.33009708737865
3100,3200201,Alegre,ES,499.0864213197969,573.9897783251232,523.5278325123153,543.911421319797,522.4384236453202
3101,3200300,Alfredo Chaves,ES,504.6321782178218,585.6267605633802,528.3267605633803,543.4118811881187,520.1877934272301
3102,3200359,Alto Rio Novo,ES,461.5627272727273,545.9206896551724,501.99310344827586,518.4209090909092,545.6896551724138
3103,3200409,Anchieta,ES,496.50408921933087,573.7221238938054,523.0792920353982,539.007249070632,487.2566371681416
3104,3200508,Apiacá,ES,483.8424242424243,551.1527777777778,509.3888888888889,528.8575757575758,472.77777777777777
3105,3200607,Aracruz,ES,498.8744439185991,578.0442086648983,529.3846153846154,548.9734500709891,517.2148541114059
3106,3200706,Atílio Vivacqua,ES,473.94354838709677,534.7421052631579,503.58571428571423,492.45403225806456,487.21804511278197
3107,3200805,Baixo Guandu,ES,497.0898901098901,564.9360995850623,519.8109958506224,542.6589010989011,505.64315352697093
